example_id,source_example_id,source_dataset_index,prompt_id,question,generated_answer_clean,aliases,choices,correct_choice_label,correct_choice_text,generated_answer_raw,generated_answer_raw_repr,generated_answer_clean_repr,new_token_ids,first_content_token_id,first_content_token_text,first_content_token_prob,first_content_token_logprob,sequence_content_logprob_mean,sequence_content_logprob_sum,answer_length_tokens,answer_length_content_tokens,thinking_generated,prompt_mode,strict_correct,expanded_exact_correct,safe_contains_correct,deterministic_correct,deterministic_label_source,deterministic_label_quality,token_f1_max,alias_has_alternative_sep,predicted_letter,correct_letter,correct_text,normalized_prediction,original_alias_variants,expanded_alias_variants,prediction_variants,normalized_aliases,fuzzy_suggested,fuzzy_auto_accept,label_regime,exact_match,contains_alias,correct_auto,correct_primary,correct_strict,correct_expanded,correct_deterministic,label_source,label_quality,label_confidence,match_type,judge_needed,judge_verdict,judge_confidence,judge_reason,temporal_unstable,label_exclusion_reason,analysis_include_primary,analysis_include_high_quality,readout_position,readout_prompt_token,n_workspace_layers,all_entropy_topk_mean,all_entropy_topk_std,all_entropy_topk_min,all_entropy_topk_max,all_entropy_topk_slope,all_entropy_topk_last3_slope,all_top1_dominance_last3_max_minus_mean,all_effective_concepts_topk_mean,all_top1_dominance_topk_mean,all_top1_margin_mean,all_distinct_top1_count,all_top1_churn_rate,all_top5_jaccard_adjacent_mean,all_answer_token_best_rank,all_answer_token_mean_rank,mid_entropy_topk_mean,mid_entropy_topk_std,mid_entropy_topk_min,mid_entropy_topk_max,mid_entropy_topk_slope,mid_entropy_topk_last3_slope,mid_top1_dominance_last3_max_minus_mean,mid_effective_concepts_topk_mean,mid_top1_dominance_topk_mean,mid_top1_margin_mean,mid_distinct_top1_count,mid_top1_churn_rate,mid_top5_jaccard_adjacent_mean,mid_answer_token_best_rank,mid_answer_token_mean_rank,late_entropy_topk_mean,late_entropy_topk_std,late_entropy_topk_min,late_entropy_topk_max,late_entropy_topk_slope,late_entropy_topk_last3_slope,late_top1_dominance_last3_max_minus_mean,late_effective_concepts_topk_mean,late_top1_dominance_topk_mean,late_top1_margin_mean,late_distinct_top1_count,late_top1_churn_rate,late_top5_jaccard_adjacent_mean,late_answer_token_best_rank,late_answer_token_mean_rank,late_late_entropy_topk_mean,late_late_entropy_topk_std,late_late_entropy_topk_min,late_late_entropy_topk_max,late_late_entropy_topk_slope,late_late_entropy_topk_last3_slope,late_late_top1_dominance_last3_max_minus_mean,late_late_effective_concepts_topk_mean,late_late_top1_dominance_topk_mean,late_late_top1_margin_mean,late_late_distinct_top1_count,late_late_top1_churn_rate,late_late_top5_jaccard_adjacent_mean,late_late_answer_token_best_rank,late_late_answer_token_mean_rank,workspace_noise_score,layer_l33_entropy_topk,layer_l33_top1_dominance_topk,layer_l33_top1_margin,layer_l33_answer_token_rank,layer_l34_entropy_topk,layer_l34_top1_dominance_topk,layer_l34_top1_margin,layer_l34_answer_token_rank,layer_l33_l34_entropy_diff,is_wrong,is_wrong_strict,is_wrong_expanded,is_wrong_deterministic,correct_strict_bool,correct_expanded_bool,correct_primary_bool,analysis_include_primary_bool,analysis_include_high_quality_bool,is_wrong_primary,first_content_token_prob_num,workspace_noise_score_num,high_confidence,workspace_noisy,quadrant
ex_00758_167d2cfa04bfaea0e0b5bac3598d5769,167d2cfa04bfaea0e0b5bac3598d5769,758,prompt_ex_00758_167d2cfa04bfaea0e0b5bac3598d5769,"Where can you buy a magazine, paper or gum?",D) newsstand,['newsstand'],"[{'label': 'A', 'text': 'bank'}, {'label': 'B', 'text': 'rack'}, {'label': 'C', 'text': 'bed'}, {'label': 'D', 'text': 'newsstand'}, {'label': 'E', 'text': 'bus depot'}]",D,newsstand, D) newsstand,' D) newsstand','D) newsstand',"[422, 8, 3669, 2685]",422, D,0.9978026747703552,-0.0021997320000082254,-0.03220507229342218,-0.1288202891736887,4,4,False,mc_letter_v1,True,True,True,True,mc_letter_exact,high,1.0,False,D,D,newsstand,D,[],[],[],['newsstand'],False,False,mc_letter,True,True,True,True,True,True,True,mc_letter_exact,high,high,mc_letter_exact,False,,,,False,,True,True,69, ,22,1.9171050422909586,0.969926261123973,0.012579057365655899,3.142639636993408,-0.04208981702004294,-0.4949392806738616,0.08850439389546716,9.782681187568468,0.455959907986901,1.3181818181818181,11,0.5714285714285714,0.4349962207105064,1,75421.5,2.2664379314942793,0.8001794171196615,0.946752667427063,3.142639636993408,0.18391948721625592,0.13155043125152602,0.20697918037573498,12.356027754127165,0.38191298192197626,0.7954545454545454,6,0.6,0.4642857142857143,41558,131329.36363636365,1.4153501656837761,0.9387566537303614,0.012579057365655899,2.6158974170684814,-0.37936462608299054,-0.4949392806738616,0.08850439389546716,5.951846932251752,0.5408980771899223,2.03125,4,0.42857142857142855,0.4733560090702947,1,3167.125,0.9430523343384266,0.8160125785168135,0.012579057365655899,1.928354024887085,-0.537220721691847,-0.4949392806738616,0.08850439389546716,3.475634264838656,0.675100976228714,3.125,3,0.5,0.4920634920634921,1,18.0,0.9430523343384266,0.02491021156311035,0.9967832565307617,6.0,1,0.012579057365655899,0.9986382126808167,7.0,1,0.012331154197454453,False,False,False,False,True,True,True,True,True,False,0.9978026747703552,0.9430523343384266,True,False,high_confidence__clean_workspace
ex_00827_43a91955fd0717997a16897c3324e095,43a91955fd0717997a16897c3324e095,827,prompt_ex_00827_43a91955fd0717997a16897c3324e095,If you're watching a comedy film what would you expect to hear from the audience?,D) laughter,['laughter'],"[{'label': 'A', 'text': 'park'}, {'label': 'B', 'text': 'insight'}, {'label': 'C', 'text': 'being entertained'}, {'label': 'D', 'text': 'laughter'}, {'label': 'E', 'text': 'fear'}]",D,laughter, D) laughter.,' D) laughter.','D) laughter',"[422, 8, 42114, 13]",422, D,0.9961514472961426,-0.003856009803712368,-0.28574434987967834,-1.1429773995187134,4,4,False,mc_letter_v1,True,True,True,True,mc_letter_exact,high,1.0,False,D,D,laughter,D,[],[],[],['laughter'],False,False,mc_letter,True,True,True,True,True,True,True,mc_letter_exact,high,high,mc_letter_exact,False,,,,False,,True,True,74, ,22,1.7759623246436769,0.996148047860059,0.021869435906410217,3.2368037700653076,-0.06681855914368592,-0.04447939246892928,0.005729099114735958,8.813872201366012,0.515752253884619,1.6931818181818181,11,0.47619047619047616,0.3681027966742253,1,81319.0,2.3497022932226006,0.7594034942508658,0.4095081090927124,3.2368037700653076,0.0207714806903493,0.17221331596374564,0.4250432948271433,12.8812703227447,0.3780403150753541,1.0511363636363635,6,0.5,0.33730158730158727,33235,133660.45454545456,1.0574181647971272,0.90512250982626,0.021869435906410217,2.537433385848999,-0.26207296293051463,-0.04447939246892928,0.005729099114735958,4.302538606885107,0.6988909244537354,2.8203125,3,0.2857142857142857,0.5192743764172335,1,2312.0,0.7568574741482734,0.9754108141358603,0.021869435906410217,2.537433385848999,-0.6079265244305135,-0.04447939246892928,0.005729099114735958,3.753620216432714,0.7439188957214355,3.5125,2,0.25,0.4087301587301587,1,2.0,0.7568574741482734,0.03300949186086655,0.9952870607376099,5.5,1,0.021869435906410217,0.9976992011070251,7.1875,1,0.01114005595445633,False,False,False,False,True,True,True,True,True,False,0.9961514472961426,0.7568574741482734,True,False,high_confidence__clean_workspace
ex_00780_19dfd55e967dacd6f5700a62c1e14eee,19dfd55e967dacd6f5700a62c1e14eee,780,prompt_ex_00780_19dfd55e967dacd6f5700a62c1e14eee,What type of store would have lots of sports equipment?,D) sporting goods,['sporting goods store'],"[{'label': 'A', 'text': 'mall'}, {'label': 'B', 'text': 'office supply store'}, {'label': 'C', 'text': 'school'}, {'label': 'D', 'text': 'sporting goods store'}, {'label': 'E', 'text': 'sporting event'}]",D,sporting goods store, D) sporting goods,' D) sporting goods','D) sporting goods',"[422, 8, 34927, 11561]",422, D,0.9961035251617432,-0.0039041026029735804,-0.0710529741663759,-0.2842118966655036,4,4,False,mc_letter_v1,True,True,True,True,mc_letter_exact,high,1.0,False,D,D,sporting goods store,D,[],[],[],['sporting goods store'],False,False,mc_letter,True,True,True,True,True,True,True,mc_letter_exact,high,high,mc_letter_exact,False,,,,False,,True,True,72, ,22,1.8544752724384042,1.102940160318225,0.011236711405217648,3.516615390777588,-0.09587942959424182,-0.03464487381279468,0.003402392069498661,10.555786209452553,0.514952128245072,1.8778409090909092,11,0.5238095238095238,0.31330309901738473,1,80915.72727272728,2.6249114220792595,0.7455716800809216,0.7275144457817078,3.516615390777588,-0.057605737989599046,-0.7771179080009463,0.3566304420431455,16.99682351676987,0.32332655177874997,0.9431818181818182,8,0.8,0.3353174603174603,14790,125784.0,0.8837465619435534,0.8515471571376542,0.011236711405217648,2.287268877029419,-0.23723251462381853,-0.03464487381279468,0.003402392069498661,3.5510339954318857,0.7797269374132156,3.5859375,3,0.2857142857142857,0.35770975056689336,1,5063.625,0.5809328397735953,0.8733162682328905,0.011236711405217648,2.287268877029419,-0.5050687455572189,-0.03464487381279468,0.003402392069498661,2.9251355288892626,0.8551358103752136,4.6625,2,0.25,0.38392857142857145,1,1.2,0.5809328397735953,0.011236711405217648,0.9987037181854248,7.0,1,0.012370612472295761,0.9987568855285645,7.8125,1,-0.0011339010670781136,False,False,False,False,True,True,True,True,True,False,0.9961035251617432,0.5809328397735953,True,False,high_confidence__clean_workspace
ex_00787_28357ebf85f8bb82b6a3210c4397e0aa,28357ebf85f8bb82b6a3210c4397e0aa,787,prompt_ex_00787_28357ebf85f8bb82b6a3210c4397e0aa,Where would you put a plate immediately after eating from it?,D) dishwasher,['dishwasher'],"[{'label': 'A', 'text': 'kitchen cupboard'}, {'label': 'B', 'text': 'floor'}, {'label': 'C', 'text': 'table'}, {'label': 'D', 'text': 'dishwasher'}, {'label': 'E', 'text': 'flea market'}]",D,dishwasher, D) dishwasher.,' D) dishwasher.','D) dishwasher',"[422, 8, 60333, 13]",422, D,0.9956815838813782,-0.004327813163399696,-0.22946173910895595,-0.9178469564358238,4,4,False,mc_letter_v1,True,True,True,True,mc_letter_exact,high,1.0,False,D,D,dishwasher,D,[],[],[],['dishwasher'],False,False,mc_letter,True,True,True,True,True,True,True,mc_letter_exact,high,high,mc_letter_exact,False,,,,False,,True,True,70, ,22,2.6579136821356686,0.8275554790926083,0.5641579031944275,3.829395294189453,-0.08350974530032093,-0.7179266512393949,0.4084025571743647,18.504683724805453,0.2893080752004277,0.7272727272727273,13,0.6666666666666666,0.39021164021164023,1,101741.18181818182,3.2074611403725366,0.3027312250719363,2.7566418647766113,3.829395294189453,-0.0034980795600198233,-0.06896984577178943,0.01641055941581726,25.932141201494936,0.20189669118686157,0.6420454545454546,6,0.5,0.36587301587301585,120284,145091.0,1.8576005175709724,0.7463205099069328,0.5641579031944275,2.8801116943359375,-0.20955807041554203,-0.7179266512393949,0.4084025571743647,8.1567392460156,0.40819335356354713,0.8203125,7,1.0,0.4484126984126983,1,48511.625,1.440837824344635,0.6243922098342773,0.5641579031944275,2.2834742069244385,-0.022344994544982986,-0.7179266512393949,0.4084025571743647,5.097623529744763,0.4979455083608627,0.9875,5,1.0,0.5277777777777778,1,1859.4,1.440837824344635,2.2834742069244385,0.24263788759708405,0.125,27,0.5641579031944275,0.909113347530365,3.5625,1,1.719316303730011,False,False,False,False,True,True,True,True,True,False,0.9956815838813782,1.440837824344635,True,False,high_confidence__clean_workspace
ex_00784_be2cb9c96069ac355a7ccef262743d14,be2cb9c96069ac355a7ccef262743d14,784,prompt_ex_00784_be2cb9c96069ac355a7ccef262743d14,Where can you buy a replacement ax handle?,B) hardware store,['hardware store'],"[{'label': 'A', 'text': 'bathroom'}, {'label': 'B', 'text': 'hardware store'}, {'label': 'C', 'text': 'water fountain'}, {'label': 'D', 'text': 'grocery store'}, {'label': 'E', 'text': 'fridge'}]",B,hardware store, B) hardware store,' B) hardware store','B) hardware store',"[425, 8, 11773, 3553]",425, B,0.9955551028251648,-0.004454808309674263,-0.06099938216965484,-0.24399752867861935,4,4,False,mc_letter_v1,True,True,True,True,mc_letter_exact,high,1.0,False,B,B,hardware store,B,[],[],[],['hardware store'],False,False,mc_letter,True,True,True,True,True,True,True,mc_letter_exact,high,high,mc_letter_exact,False,,,,False,,True,True,68, ,22,2.2318343736908655,1.0993052449902314,0.23304295539855957,3.6093573570251465,-0.05743468696286214,-0.1155464053153991,0.042483290036519405,14.786337303689585,0.4498908072710037,1.4659090909090908,12,0.6190476190476191,0.24338624338624337,1,73155.36363636363,3.0404763330112803,0.5631612495412509,1.463791012763977,3.6093573570251465,0.04939614967866383,-0.11835396289825413,0.13301479319731394,23.493458377652225,0.23914343931458212,0.7159090909090909,8,0.8,0.18253968253968253,17280,120789.90909090909,1.4288405403494835,0.9756039302739188,0.23304295539855957,2.810797691345215,-0.3131986920322689,-0.1155464053153991,0.042483290036519405,6.518772100754202,0.6571965962648392,2.203125,3,0.2857142857142857,0.2868480725623583,1,3535.125,1.0413280129432678,0.9579295440288805,0.23304295539855957,2.7275843620300293,-0.6183214247226718,-0.1155464053153991,0.042483290036519405,4.783765933158166,0.7369166433811187,2.375,2,0.25,0.22519841269841268,1,3.4,1.0413280129432678,0.29387277364730835,0.9326568841934204,2.75,1,0.23304295539855957,0.9696951508522034,5.125,1,0.06082981824874878,False,False,False,False,True,True,True,True,True,False,0.9955551028251648,1.0413280129432678,True,False,high_confidence__clean_workspace
ex_00064_ec79ef747bb89281923edb89ba26786d,ec79ef747bb89281923edb89ba26786d,64,prompt_ex_00064_ec79ef747bb89281923edb89ba26786d,What is a place that has a bench nestled in trees?,A) state park,['state park'],"[{'label': 'A', 'text': 'state park'}, {'label': 'B', 'text': 'bus stop'}, {'label': 'C', 'text': 'bus depot'}, {'label': 'D', 'text': 'statue'}, {'label': 'E', 'text': 'train station'}]",A,state park, A) state park,' A) state park','A) state park',"[362, 8, 1584, 6118]",362, A,0.9953468441963196,-0.00466401781886816,-0.07515462664559713,-0.30061850658238853,4,4,False,mc_letter_v1,True,True,True,True,mc_letter_exact,high,1.0,False,A,A,state park,A,[],[],[],['state park'],False,False,mc_letter,True,True,True,True,True,True,True,mc_letter_exact,high,high,mc_letter_exact,False,,,,False,,True,True,72, ,22,1.9847599210810254,0.9594921083721888,0.014326491393148899,3.2035841941833496,-0.06699424528715087,-0.09273505536839367,0.014550666014353397,10.25181844572134,0.46061808412725275,1.4517045454545454,13,0.6190476190476191,0.3854875283446712,1,66663.13636363637,2.4774676832285794,0.690285562082092,0.6664029955863953,3.2035841941833496,-0.018294193527915243,-0.001229405403136855,0.4048563838005066,14.177124125259134,0.3562345518307252,0.8977272727272727,7,0.7,0.3023809523809523,8163,115346.90909090909,1.3849448926048353,1.0463023773796214,0.014326491393148899,2.7400500774383545,-0.3913709888611697,-0.09273505536839367,0.014550666014353397,6.250354014213284,0.6008802428841591,2.4921875,4,0.42857142857142855,0.4710884353741496,1,741.625,0.8287954436615109,0.9313197820605994,0.014326491393148899,2.323951244354248,-0.6062133265659216,-0.09273505536839367,0.014550666014353397,3.625764920562635,0.7925607919692993,3.7625,2,0.25,0.3839285714285714,1,1.6,0.8287954436615109,0.0815095603466034,0.9885779619216919,4.875,1,0.014326491393148899,0.9986055493354797,7.8125,1,0.0671830689534545,False,False,False,False,True,True,True,True,True,False,0.9953468441963196,0.8287954436615109,True,False,high_confidence__clean_workspace
ex_00188_9d625e948e9c3777e7cc54ed8ffea135,9d625e948e9c3777e7cc54ed8ffea135,188,prompt_ex_00188_9d625e948e9c3777e7cc54ed8ffea135,Where could a sloth live?,A) tropical jungle,['tropical jungle'],"[{'label': 'A', 'text': 'tropical jungle'}, {'label': 'B', 'text': 'manual'}, {'label': 'C', 'text': 'work'}, {'label': 'D', 'text': 'transit'}, {'label': 'E', 'text': 'countryside'}]",A,tropical jungle, A) tropical jungle,' A) tropical jungle','A) tropical jungle',"[362, 8, 34048, 44420]",362, A,0.9947603940963745,-0.005253438837826252,-0.10430732770993245,-0.4172293108397298,4,4,False,mc_letter_v1,True,True,True,True,mc_letter_exact,high,1.0,False,A,A,tropical jungle,A,[],[],[],['tropical jungle'],False,False,mc_letter,True,True,True,True,True,True,True,mc_letter_exact,high,high,mc_letter_exact,False,,,,False,,True,True,64, ,22,1.9555279328911142,1.040680339134321,0.010913161560893059,3.463374137878418,-0.05275620482146805,-0.06171054486185313,0.008514165878295898,10.737414555359072,0.4742868800054897,1.6079545454545454,10,0.47619047619047616,0.4391534391534392,1,72254.72727272728,2.5319758382710544,0.7090707407814734,0.7012854218482971,3.463374137878418,-0.09169814803383555,-0.19207298755645733,0.3002149363358816,15.266772888774726,0.34115571596405725,0.8863636363636364,6,0.6,0.4845238095238096,3760,120063.54545454546,1.482130307937041,1.143257081249457,0.010913161560893059,2.8950819969177246,-0.4479043483068899,-0.06171054486185313,0.008514165878295898,7.363890852878394,0.5750133842229843,2.5625,3,0.2857142857142857,0.41723356009070284,1,574.125,0.8885850731283427,1.0457254949930588,0.010913161560893059,2.5645906925201416,-0.6731264099478727,-0.06171054486185313,0.008514165878295898,4.312739303942792,0.7082656711339951,3.65,2,0.25,0.42857142857142855,1,1.2,0.8885850731283427,0.05458911135792732,0.9930530190467834,5.5,1,0.010913161560893059,0.9989448189735413,8.125,1,0.043675949797034264,False,False,False,False,True,True,True,True,True,False,0.9947603940963745,0.8885850731283427,True,False,high_confidence__clean_workspace
ex_00841_18ee7a93410a6b4c9cec5d4894775991-1,18ee7a93410a6b4c9cec5d4894775991_1,841,prompt_ex_00841_18ee7a93410a6b4c9cec5d4894775991-1,Metal is taken from what which is pulled from the ground?,C) ore,['ore'],"[{'label': 'A', 'text': 'dirt'}, {'label': 'B', 'text': 'instruments'}, {'label': 'C', 'text': 'ore'}, {'label': 'D', 'text': 'car'}, {'label': 'E', 'text': 'junkyard'}]",C,ore, C) ore.,' C) ore.','C) ore',"[356, 8, 16144, 13]",356, C,0.9946953654289246,-0.005318777170032263,-0.10691320853220532,-0.42765283412882127,4,4,False,mc_letter_v1,True,True,True,True,mc_letter_exact,high,1.0,False,C,C,ore,C,[],[],[],['ore'],False,False,mc_letter,True,True,True,True,True,True,True,mc_letter_exact,high,high,mc_letter_exact,False,,,,False,,True,True,69, ,22,1.5626160421154716,0.8481876757151614,0.5936452150344849,3.386416435241699,-0.0716046686229027,0.0023229718208313986,0.09103985627492273,7.339499454032699,0.5586487024345181,1.2471590909090908,10,0.47619047619047616,0.49470899470899454,222,117216.13636363637,1.8752945444800637,0.8865719229128898,0.8652790784835815,3.386416435241699,0.0030858050693165543,-0.08303952217102027,0.02307782570521033,9.988062680877341,0.5041450526226651,1.1875,6,0.6,0.48015873015873006,144132,149824.9090909091,0.8958164379000664,0.21450406383661996,0.5936452150344849,1.2731225490570068,-0.012222784615698217,0.0023229718208313986,0.09103985627492273,2.5087935061112643,0.6754593178629875,1.359375,4,0.42857142857142855,0.564625850340136,222,80336.0,0.8782577991485596,0.16292749068443843,0.7850751876831055,1.2030322551727295,-0.047701370716095044,0.0023229718208313986,0.09103985627492273,2.4414493277326157,0.6174500703811645,0.85,2,0.25,0.6071428571428571,222,42641.2,0.8782577991485596,0.7850751876831055,0.609762966632843,0.5,5385,0.7927663922309875,0.5479514002799988,0.25,222,-0.00769120454788208,False,False,False,False,True,True,True,True,True,False,0.9946953654289246,0.8782577991485596,True,False,high_confidence__clean_workspace
ex_01129_7c8bc9c0e56389eef033bca40c88c151,7c8bc9c0e56389eef033bca40c88c151,1129,prompt_ex_01129_7c8bc9c0e56389eef033bca40c88c151,Where is a good place to have a fireplace in a house?,D) living room,['living room'],"[{'label': 'A', 'text': 'big house'}, {'label': 'B', 'text': 'train'}, {'label': 'C', 'text': 'cabin'}, {'label': 'D', 'text': 'living room'}, {'label': 'E', 'text': 'home'}]",D,living room, D) living room,' D) living room','D) living room',"[422, 8, 5382, 3054]",422, D,0.9946560859680176,-0.005358262453228235,-0.05341938468154517,-0.21367753872618067,4,4,False,mc_letter_v1,True,True,True,True,mc_letter_exact,high,1.0,False,D,D,living room,D,[],[],[],['living room'],False,False,mc_letter,True,True,True,True,True,True,True,mc_letter_exact,high,high,mc_letter_exact,False,,,,False,,True,True,71, ,22,1.5636352275455878,0.9763950851209079,0.007059171330183744,3.100550413131714,-0.0871043006104918,-0.008494080509990455,0.0011481841405233117,7.220628993431421,0.5984011231498285,2.2130681818181817,8,0.42857142857142855,0.412509448223734,1,79132.31818181818,2.3088069503957573,0.547972422235033,1.2367444038391113,3.100550413131714,0.05268329381942744,-0.4783346056938167,0.1668102244536082,11.526489929032559,0.4133694402196191,1.0056818181818181,5,0.5,0.42063492063492064,17009,125995.0,0.5745453020208515,0.5554535071015589,0.007059171330183744,1.4405415058135986,-0.19704030897091354,-0.008494080509990455,0.0011481841405233117,2.0719790755915555,0.8558819964528084,4.1875,3,0.2857142857142857,0.41723356009070284,1,3053.75,0.3211626180447638,0.5609873795664373,0.007059171330183744,1.4405415058135986,-0.2960079325828702,-0.008494080509990455,0.0011481841405233117,1.679112280279464,0.9174738168716431,5.525,2,0.25,0.3492063492063492,1,1.6,0.3211626180447638,0.007059171330183744,0.9992276430130005,7.75,1,0.013792191632091999,0.9985131621360779,7.0,1,-0.006733020301908255,False,False,False,False,True,True,True,True,True,False,0.9946560859680176,0.3211626180447638,True,False,high_confidence__clean_workspace
ex_00527_a4b4242fab25e86a9d7ffedcaecdcdbe,a4b4242fab25e86a9d7ffedcaecdcdbe,527,prompt_ex_00527_a4b4242fab25e86a9d7ffedcaecdcdbe,Where is a good place to store pamphlets in your home or office?,D) drawer,['drawer'],"[{'label': 'A', 'text': 'library'}, {'label': 'B', 'text': 'health department'}, {'label': 'C', 'text': 'mail box'}, {'label': 'D', 'text': 'drawer'}, {'label': 'E', 'text': 'bookstore'}]",D,drawer, D) drawer.,' D) drawer.','D) drawer',"[422, 8, 26482, 13]",422, D,0.9942560195922852,-0.005760496947914362,-0.10847516784633626,-0.43390067138534505,4,4,False,mc_letter_v1,True,True,True,True,mc_letter_exact,high,1.0,False,D,D,drawer,D,[],[],[],['drawer'],False,False,mc_letter,True,True,True,True,True,True,True,mc_letter_exact,high,high,mc_letter_exact,False,,,,False,,True,True,73, ,22,1.7093291568823836,1.1365137348844008,0.023840509355068207,3.4097650051116943,-0.08383503669629919,-0.1409279238432646,0.01812579234441125,9.75984873775617,0.5630476247857917,1.9090909090909092,9,0.38095238095238093,0.3590325018896448,1,71412.0,2.4942099512978033,0.9377355805457928,0.12427473813295364,3.4097650051116943,-0.08869919424707239,-0.8958529829978943,0.43070950359106064,16.310461981657923,0.36559240452267905,1.0170454545454546,5,0.4,0.33015873015873015,3103,110699.54545454546,0.805487412493676,0.7338528641906704,0.023840509355068207,2.0017831325531006,-0.13894175893316657,-0.1409279238432646,0.01812579234441125,3.00428847863122,0.7841514833271503,3.1484375,3,0.2857142857142857,0.4115646258503401,1,1970.0,0.6332796327769756,0.7378083266485985,0.023840509355068207,2.0017831325531006,-0.347422876954079,-0.1409279238432646,0.01812579234441125,2.6063985307880357,0.8468375980854035,4.1125,3,0.5,0.3392857142857143,1,4.2,0.6332796327769756,0.023840509355068207,0.9970256686210632,6.5,1,0.03692520037293434,0.9959188103675842,6.5625,1,-0.013084691017866135,False,False,False,False,True,True,True,True,True,False,0.9942560195922852,0.6332796327769756,True,False,high_confidence__clean_workspace
