example_id,question,prediction,aliases,verdict,confidence,reason,raw_judge_output,clean_judge_output,temporal_unstable,fuzzy_suggested
ex_05238_5ae143ed55429920d5234360,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,"1724. The university is Saint Petersburg State University. Wait, but",['1755'],ambiguous,medium,"The accepted answer is 1755, but the model answer is 1724. The model also provides a possible alias (Saint Petersburg State University), which may be incorrect or outdated. The founding year of Saint Petersburg State University is generally considered to be 1724, but the accepted answer of 1755 may refer to a different institution or a different historical context. This creates ambiguity due to potential historical disputes or changes in institutional naming.","{""verdict"":""ambiguous"",""confidence"":""medium"",""reason"":""The accepted answer is 1755, but the model answer is 1724. The model also provides a possible alias (Saint Petersburg State University), which may be incorrect or outdated. The founding year of Saint Petersburg State University is generally considered to be 1724, but the accepted answer of 1755 may refer to a different institution or a different historical context. This creates ambiguity due to potential historical disputes or changes in institutional naming.""}","{""verdict"":""ambiguous"",""confidence"":""medium"",""reason"":""The accepted answer is 1755, but the model answer is 1724. The model also provides a possible alias (Saint Petersburg State University), which may be incorrect or outdated. The founding year of Saint Petersburg State University is generally considered to be 1724, but the accepted answer of 1755 may refer to a different institution or a different historical context. This creates ambiguity due to potential historical disputes or changes in institutional naming.""}",False,False
ex_00839_5ae80919554299540e5a56f6,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,"19th-century historian and archaeologist, John Morris",['The Changing Scottish Landscape'],ambiguous,medium,"The accepted answer refers to a publication or work title, while the model answer refers to a person. The question asks for the source that characterized the castle, but the model answer provides a person rather than the work or publication. This makes the answer partially correct but not clearly equivalent.","{""verdict"":""ambiguous"",""confidence"":""medium"",""reason"":""The accepted answer refers to a publication or work title, while the model answer refers to a person. The question asks for the source that characterized the castle, but the model answer provides a person rather than the work or publication. This makes the answer partially correct but not clearly equivalent.""}","{""verdict"":""ambiguous"",""confidence"":""medium"",""reason"":""The accepted answer refers to a publication or work title, while the model answer refers to a person. The question asks for the source that characterized the castle, but the model answer provides a person rather than the work or publication. This makes the answer partially correct but not clearly equivalent.""}",False,False
ex_05543_5ae361605542994393b9e69b,The facility where Robert Croft worked as a navy instructor was also known as?,19th Naval Training Center. The facility where Robert Croft worked as a,"['""Home of the Submarine Force""']",ambiguous,medium,"The model answer refers to ""19th Naval Training Center"" which is a specific name for the facility, but the accepted answer is a descriptive alias ""Home of the Submarine Force"". While the two may refer to the same facility, the model answer is not semantically equivalent to the accepted answer and lacks completeness.","{""verdict"":""ambiguous"",""confidence"":""medium"",""reason"":""The model answer refers to \""19th Naval Training Center\"" which is a specific name for the facility, but the accepted answer is a descriptive alias \""Home of the Submarine Force\"". While the two may refer to the same facility, the model answer is not semantically equivalent to the accepted answer and lacks completeness.""}","{""verdict"":""ambiguous"",""confidence"":""medium"",""reason"":""The model answer refers to \""19th Naval Training Center\"" which is a specific name for the facility, but the accepted answer is a descriptive alias \""Home of the Submarine Force\"". While the two may refer to the same facility, the model answer is not semantically equivalent to the accepted answer and lacks completeness.""}",False,False
ex_00260_5a86769c5542994775f60776,Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,1984,['Slaughterhouse-Five'],incorrect,high,"The model answer '1984' is clearly a different entity/fact. 'Armageddon in Retrospect' was written by Kurt Vonnegut, who was best known for 'Slaughterhouse-Five', not '1984'.","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer '1984' is clearly a different entity/fact. 'Armageddon in Retrospect' was written by Kurt Vonnegut, who was best known for 'Slaughterhouse-Five', not '1984'.""}","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer '1984' is clearly a different entity/fact. 'Armageddon in Retrospect' was written by Kurt Vonnegut, who was best known for 'Slaughterhouse-Five', not '1984'.""}",False,False
ex_05865_5ade25ed5542997c77aded70,During what war were the Russia-United Kingdom relations in a state of rivalry after the abdication of Emperor Nicholas II? ,1904–1905 Russo-Japanese War. The answer,['the Cold War (1947–91)'],incorrect,high,"The model answer refers to the Russo-Japanese War (1904–1905), which occurred long before the abdication of Emperor Nicholas II (1917). The accepted answer refers to the Cold War (1947–1991), which is the correct period when Russia-United Kingdom relations were in rivalry after the abdication of Nicholas II.","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer refers to the Russo-Japanese War (1904–1905), which occurred long before the abdication of Emperor Nicholas II (1917). The accepted answer refers to the Cold War (1947–1991), which is the correct period when Russia-United Kingdom relations were in rivalry after the abdication of Nicholas II.""}","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer refers to the Russo-Japanese War (1904–1905), which occurred long before the abdication of Emperor Nicholas II (1917). The accepted answer refers to the Cold War (1947–1991), which is the correct period when Russia-United Kingdom relations were in rivalry after the abdication of Nicholas II.""}",False,False
ex_03436_5ab6aa4c55429953192ad359,"In the NASA mission where Moon trees were taken into space, what was the nickname of the Command Module?",101,"['""Kitty Hawk""']",incorrect,high,"The model answer '101' is not semantically equivalent to the accepted answer 'Kitty Hawk' and does not represent the nickname of the Command Module in the NASA mission with Moon trees. 'Kitty Hawk' is the correct nickname, while '101' is not a recognized alias or name for the Command Module in this context.","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer '101' is not semantically equivalent to the accepted answer 'Kitty Hawk' and does not represent the nickname of the Command Module in the NASA mission with Moon trees. 'Kitty Hawk' is the correct nickname, while '101' is not a recognized alias or name for the Command Module in this context.""}","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer '101' is not semantically equivalent to the accepted answer 'Kitty Hawk' and does not represent the nickname of the Command Module in the NASA mission with Moon trees. 'Kitty Hawk' is the correct nickname, while '101' is not a recognized alias or name for the Command Module in this context.""}",False,False
ex_03462_5ae1443855429920d5234362,Alexander Petrovich Nikolayev received the title Hero of the Soviet Union and the Order of Lenin for his actions during the   the final major offensive of the European theatre of what war?,1945,['World War II'],incorrect,high,"The model answer '1945' refers to the year, while the question asks for the name of the war. The accepted answer 'World War II' is the correct name of the war, making the model answer incorrect as it does not address the question directly.","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer '1945' refers to the year, while the question asks for the name of the war. The accepted answer 'World War II' is the correct name of the war, making the model answer incorrect as it does not address the question directly.""}","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer '1945' refers to the year, while the question asks for the name of the war. The accepted answer 'World War II' is the correct name of the war, making the model answer incorrect as it does not address the question directly.""}",False,False
ex_02757_5a7ce0ce554299452d57ba92,"Which of the four US Presidents who have been assinated was shot on the grounds of the Pan-American Exposition at the Temple of Music in Buffalo, New York?","25th President of the United States, William Howard Taft. Wait",['William McKinley'],incorrect,high,"The model answer refers to William Howard Taft, who was not assassinated. The accepted answer is William McKinley, who was assassinated during the Pan-American Exposition in Buffalo, New York.","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer refers to William Howard Taft, who was not assassinated. The accepted answer is William McKinley, who was assassinated during the Pan-American Exposition in Buffalo, New York.""}","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer refers to William Howard Taft, who was not assassinated. The accepted answer is William McKinley, who was assassinated during the Pan-American Exposition in Buffalo, New York.""}",False,False
ex_00759_5a877dd65542993e715abf79,Were Halldór Laxness and Timothy Leary from the same country?,1. No. 2. Yes. 3. Cannot be determined,['no'],incorrect,high,"The model answer includes 'Yes' and 'Cannot be determined', which are incorrect given the accepted answer is 'no'. Halldór Laxness was from Iceland and Timothy Leary was from the United States, so they were not from the same country.","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer includes 'Yes' and 'Cannot be determined', which are incorrect given the accepted answer is 'no'. Halldór Laxness was from Iceland and Timothy Leary was from the United States, so they were not from the same country.""}","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer includes 'Yes' and 'Cannot be determined', which are incorrect given the accepted answer is 'no'. Halldór Laxness was from Iceland and Timothy Leary was from the United States, so they were not from the same country.""}",False,False
ex_06942_5abc030e554299642a094bdc,The Distribution of Industry act was passed by a man who was prime minister when? ,1905–1908. The act was passed by William,['1945 to 1951'],incorrect,high,"The model answer refers to 1905–1908, which is incorrect as the Distribution of Industry Act was passed in 1945, during the tenure of Clement Attlee as Prime Minister.","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer refers to 1905–1908, which is incorrect as the Distribution of Industry Act was passed in 1945, during the tenure of Clement Attlee as Prime Minister.""}","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer refers to 1905–1908, which is incorrect as the Distribution of Industry Act was passed in 1945, during the tenure of Clement Attlee as Prime Minister.""}",False,False
