example_id,source_example_id,source_dataset_index,prompt_id,question,generated_answer_clean,aliases,choices,correct_choice_label,correct_choice_text,generated_answer_raw,generated_answer_raw_repr,generated_answer_clean_repr,new_token_ids,first_content_token_id,first_content_token_text,first_content_token_prob,first_content_token_logprob,sequence_content_logprob_mean,sequence_content_logprob_sum,answer_length_tokens,answer_length_content_tokens,thinking_generated,prompt_mode,strict_correct,expanded_exact_correct,safe_contains_correct,deterministic_correct,deterministic_label_source,deterministic_label_quality,token_f1_max,alias_has_alternative_sep,predicted_letter,correct_letter,correct_text,normalized_prediction,original_alias_variants,expanded_alias_variants,prediction_variants,normalized_aliases,fuzzy_suggested,fuzzy_auto_accept,label_regime,exact_match,contains_alias,correct_auto,correct_primary,correct_strict,correct_expanded,correct_deterministic,label_source,label_quality,label_confidence,match_type,judge_needed,judge_verdict,judge_confidence,judge_reason,temporal_unstable,label_exclusion_reason,analysis_include_primary,analysis_include_high_quality,readout_position,readout_prompt_token,n_workspace_layers,all_entropy_topk_mean,all_entropy_topk_std,all_entropy_topk_min,all_entropy_topk_max,all_entropy_topk_slope,all_entropy_topk_last3_slope,all_top1_dominance_last3_max_minus_mean,all_effective_concepts_topk_mean,all_top1_dominance_topk_mean,all_top1_margin_mean,all_distinct_top1_count,all_top1_churn_rate,all_top5_jaccard_adjacent_mean,all_answer_token_best_rank,all_answer_token_mean_rank,mid_entropy_topk_mean,mid_entropy_topk_std,mid_entropy_topk_min,mid_entropy_topk_max,mid_entropy_topk_slope,mid_entropy_topk_last3_slope,mid_top1_dominance_last3_max_minus_mean,mid_effective_concepts_topk_mean,mid_top1_dominance_topk_mean,mid_top1_margin_mean,mid_distinct_top1_count,mid_top1_churn_rate,mid_top5_jaccard_adjacent_mean,mid_answer_token_best_rank,mid_answer_token_mean_rank,late_entropy_topk_mean,late_entropy_topk_std,late_entropy_topk_min,late_entropy_topk_max,late_entropy_topk_slope,late_entropy_topk_last3_slope,late_top1_dominance_last3_max_minus_mean,late_effective_concepts_topk_mean,late_top1_dominance_topk_mean,late_top1_margin_mean,late_distinct_top1_count,late_top1_churn_rate,late_top5_jaccard_adjacent_mean,late_answer_token_best_rank,late_answer_token_mean_rank,late_late_entropy_topk_mean,late_late_entropy_topk_std,late_late_entropy_topk_min,late_late_entropy_topk_max,late_late_entropy_topk_slope,late_late_entropy_topk_last3_slope,late_late_top1_dominance_last3_max_minus_mean,late_late_effective_concepts_topk_mean,late_late_top1_dominance_topk_mean,late_late_top1_margin_mean,late_late_distinct_top1_count,late_late_top1_churn_rate,late_late_top5_jaccard_adjacent_mean,late_late_answer_token_best_rank,late_late_answer_token_mean_rank,workspace_noise_score,layer_l33_entropy_topk,layer_l33_top1_dominance_topk,layer_l33_top1_margin,layer_l33_answer_token_rank,layer_l34_entropy_topk,layer_l34_top1_dominance_topk,layer_l34_top1_margin,layer_l34_answer_token_rank,layer_l33_l34_entropy_diff,is_wrong,is_wrong_strict,is_wrong_expanded,is_wrong_deterministic,correct_strict_bool,correct_expanded_bool,correct_primary_bool,analysis_include_primary_bool,analysis_include_high_quality_bool,is_wrong_primary,first_content_token_prob_num,workspace_noise_score_num,high_confidence,workspace_noisy,quadrant
ex_00305_91629c6f9e4af3e6acf385eb23fd8068,91629c6f9e4af3e6acf385eb23fd8068,305,prompt_ex_00305_91629c6f9e4af3e6acf385eb23fd8068,What do you write letter in in America?,C) envelope,['english alphabet'],"[{'label': 'A', 'text': 'syllable'}, {'label': 'B', 'text': 'post office'}, {'label': 'C', 'text': 'envelope'}, {'label': 'D', 'text': 'english alphabet'}, {'label': 'E', 'text': 'word'}]",D,english alphabet, C) envelope.,' C) envelope.','C) envelope',"[356, 8, 34398, 13]",356, C,0.99312424659729,-0.00689946161583066,-0.3338388934644172,-1.3353555738576688,4,4,False,mc_letter_v1,False,False,False,False,mc_letter_mismatch,high,0.0,False,C,D,english alphabet,C,[],[],[],['english alphabet'],False,False,mc_letter,False,False,False,False,False,False,False,llm_judge_incorrect,medium,medium,llm_judge_incorrect,True,incorrect,high,"The model answer 'envelope' refers to the object used to hold letters, while the accepted answer 'english alphabet' refers to the set of letters used in the English language. The two are not semantically equivalent.",False,,True,True,68, ,22,2.387435333295302,0.5191782986862983,1.5141500234603882,3.243098258972168,0.018150839880992312,-0.21060657501220673,0.15055722494920093,12.402182387649463,0.321518560024825,0.5454545454545454,13,0.8095238095238095,0.37585034013605445,36,92206.36363636363,2.2860630642284048,0.5402254605689646,1.5141500234603882,3.243098258972168,0.13742165023630318,-0.28031969070434554,0.13163159290949503,11.374570271447153,0.32001440904357215,0.4090909090909091,7,0.8,0.44801587301587303,97625,140530.72727272726,2.489412233233452,0.556756902888112,1.5528782606124878,3.2269673347473145,-0.11581478942008222,-0.21060657501220673,0.15055722494920093,13.945319730496456,0.33745953626930714,0.78125,4,0.7142857142857143,0.3191609977324263,36,31808.5,2.1909655809402464,0.43674655688000336,1.5528782606124878,2.6922121047973633,0.18146120309829702,-0.21060657501220673,0.15055722494920093,9.7923192836078,0.3785547107458115,0.75,3,0.75,0.44047619047619047,36,3560.0,2.1909655809402464,2.6922121047973633,0.18950434029102325,,168,2.208721160888672,0.46310997009277344,1.375,36,0.4834909439086914,True,True,True,True,False,False,False,True,True,True,0.99312424659729,2.1909655809402464,True,True,high_confidence__noisy_workspace
ex_00905_2f1680da0d388a8453150ff3637e4689,2f1680da0d388a8453150ff3637e4689,905,prompt_ex_00905_2f1680da0d388a8453150ff3637e4689,Where would you be concerned about finding a cavity?,D) unbrush,['teeth'],"[{'label': 'A', 'text': 'solid object'}, {'label': 'B', 'text': 'molar'}, {'label': 'C', 'text': 'dentist'}, {'label': 'D', 'text': 'unbrushed tooth'}, {'label': 'E', 'text': 'teeth'}]",E,teeth, D) unbrush,' D) unbrush','D) unbrush',"[422, 8, 650, 36061]",422, D,0.9712845683097839,-0.029135780408978462,-0.06623030200807989,-0.26492120803231956,4,4,False,mc_letter_v1,False,False,False,False,mc_letter_mismatch,high,0.0,False,D,E,teeth,D,[],[],[],['teeth'],False,False,mc_letter,False,False,False,False,False,False,False,llm_judge_incorrect,medium,medium,llm_judge_incorrect,True,incorrect,high,"The model answer 'unbrush' is not semantically equivalent to 'teeth' and does not address the question of where one would be concerned about finding a cavity. 'Unbrush' refers to a state or action, not a location or body part where cavities are found.",False,,True,True,71, ,22,1.7207240028814836,0.7134679751076599,0.4696815609931946,3.0659048557281494,0.06746238601335626,-1.0069605112075803,0.2556254516045252,7.115974415576483,0.5304329767823219,1.2556818181818181,10,0.7142857142857143,0.37830687830687826,1,92869.04545454546,1.5481971231373874,0.6060565880654248,0.4696815609931946,2.2722833156585693,0.1607340265404094,-0.07278621196746819,0.07742929458618164,5.530055096293307,0.5494461113756354,1.0681818181818181,5,0.6,0.45595238095238094,106287,141956.9090909091,2.173354282975197,0.6516743474344615,1.0519838333129883,3.0659048557281494,-0.07474898014749785,-1.0069605112075803,0.2556254516045252,10.617629933406183,0.4423076640814543,1.375,5,0.7142857142857143,0.2755102040816327,1,15015.875,2.13637957572937,0.728168238736413,1.0519838333129883,3.0659048557281494,-0.3412883758544922,-1.0069605112075803,0.2556254516045252,10.75950736178321,0.44813362658023836,1.525,3,0.5,0.18055555555555558,1,97.6,2.13637957572937,1.6283555030822754,0.6850488781929016,2.875,1,1.0519838333129883,0.8201378583908081,3.5,1,0.5763716697692871,True,True,True,True,False,False,False,True,True,True,0.9712845683097839,2.13637957572937,True,True,high_confidence__noisy_workspace
ex_00448_e98031901c815e55040d9fe28c4d9387,e98031901c815e55040d9fe28c4d9387,448,prompt_ex_00448_e98031901c815e55040d9fe28c4d9387,Where would a cat snuggle up with their human?,C,['comfortable chair'],"[{'label': 'A', 'text': 'floor'}, {'label': 'B', 'text': 'humane society'}, {'label': 'C', 'text': 'bed'}, {'label': 'D', 'text': 'comfortable chair'}, {'label': 'E', 'text': 'window sill'}]",D,comfortable chair," C

The correct",' C\n\nThe correct','C',"[356, 271, 785, 4396]",356, C,0.9711681604385376,-0.029255613684654236,-0.16926653683185577,-0.5077996104955673,4,3,False,mc_letter_v1,False,False,False,False,mc_letter_mismatch,high,0.0,False,C,D,comfortable chair,C,[],[],[],['comfortable chair'],False,False,mc_letter,False,False,False,False,False,False,False,llm_judge_incorrect,medium,medium,llm_judge_incorrect,True,incorrect,high,The model answer 'C' is not semantically equivalent to the accepted answer 'comfortable chair' and does not provide a meaningful answer to the question.,False,,True,True,70, ,22,1.31250469928438,0.7817047152011328,0.06057405471801758,3.147534132003784,0.021725706516316504,-1.0415641069412234,0.31057061751683557,5.388593699754202,0.6420586346225305,1.7272727272727273,7,0.47619047619047616,0.4332955404383975,1,90216.36363636363,1.3222545168616555,0.799810103550485,0.5923349857330322,3.147534132003784,-0.1173181463371623,0.15035104751586925,0.10711683829625451,5.72649312682408,0.621290381659161,1.3068181818181819,4,0.3,0.5357142857142858,86785,142931.18181818182,1.5618507713079453,0.6763908999933863,0.7248237133026123,2.8079519271850586,-0.007016152143478367,-1.0415641069412234,0.31057061751683557,6.15549368960989,0.5795081220567226,1.515625,5,0.7142857142857143,0.2811791383219955,1,17200.875,1.6877570867538452,0.8054498530927394,0.7248237133026123,2.8079519271850586,-0.21727224588394192,-1.0415641069412234,0.31057061751683557,7.4500758705473,0.5411387264728547,1.65,4,0.75,0.2152777777777778,1,137.6,1.6877570867538452,1.2388957738876343,0.5504146814346313,1.0,1,0.7248237133026123,0.8863587379455566,4.125,1,0.514072060585022,True,True,True,True,False,False,False,True,True,True,0.9711681604385376,1.6877570867538452,True,True,high_confidence__noisy_workspace
ex_00941_c61790eb63ff6652b878ca051493c07d,c61790eb63ff6652b878ca051493c07d,941,prompt_ex_00941_c61790eb63ff6652b878ca051493c07d,Where do you keep a pail in your house?,A,['utility room'],"[{'label': 'A', 'text': 'garage'}, {'label': 'B', 'text': 'pool'}, {'label': 'C', 'text': 'utility room'}, {'label': 'D', 'text': 'hardware store'}, {'label': 'E', 'text': 'wishing well'}]",C,utility room," A
The correct",' A\nThe correct','A',"[362, 198, 785, 4396]",362, A,0.9420775771141052,-0.0596676841378212,-0.23028147468964258,-0.6908444240689278,4,3,False,mc_letter_v1,False,False,False,False,mc_letter_mismatch,high,0.0,False,A,C,utility room,A,[],[],[],['utility room'],False,False,mc_letter,False,False,False,False,False,False,False,llm_judge_incorrect,low,low,llm_judge_incorrect,True,incorrect,low,"{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer 'A' is not semantically equivalent to the accepted answer 'utility room' and does not provide a valid answer to the question 'Where do you keep a pail in your house?'""}
}",False,,True,False,70, ,22,2.421946010806344,0.7667726356316062,0.4103339910507202,3.4062695503234863,-0.06220305167908452,-0.6669151186943053,0.20857516924540198,14.369740869436624,0.39210389757698233,1.0710227272727273,7,0.3333333333333333,0.44784580498866217,1,77895.54545454546,2.7189453840255737,0.6355657038878868,1.4921220541000366,3.4062695503234863,-0.15287321805953974,0.23315924406051652,0.1592138111591339,17.961318846845472,0.3360377780415795,0.9715909090909091,4,0.4,0.5428571428571429,23005,131850.54545454544,2.0056871622800827,0.8302186574632598,0.4103339910507202,3.2262301445007324,-0.14986810939652567,-0.6669151186943053,0.20857516924540198,10.09458916486687,0.4693094342947006,1.234375,3,0.2857142857142857,0.39399092970521543,1,4221.5,1.9539812564849854,0.976935746321849,0.4103339910507202,3.2262301445007324,-0.6257967829704288,-0.6669151186943053,0.20857516924540198,10.635437517386825,0.5092234551906586,1.575,2,0.25,0.22519841269841268,1,5.8,1.9539812564849854,1.6419833898544312,0.6072982549667358,1.25,1,0.4103339910507202,0.9374042749404907,4.0,1,1.231649398803711,True,True,True,True,False,False,False,True,False,True,0.9420775771141052,1.9539812564849854,True,True,high_confidence__noisy_workspace
ex_00915_3c6e2d95a63316b31986e8c7979582c9,3c6e2d95a63316b31986e8c7979582c9,915,prompt_ex_00915_3c6e2d95a63316b31986e8c7979582c9,What will happen to animals after eating food?,B) digestion,['feel pleasure'],"[{'label': 'A', 'text': 'bite'}, {'label': 'B', 'text': 'digestion'}, {'label': 'C', 'text': 'feel pleasure'}, {'label': 'D', 'text': 'pass water'}, {'label': 'E', 'text': 'listen to each other'}]",C,feel pleasure," B) digestion
",' B) digestion\n','B) digestion',"[425, 8, 73402, 198]",425, B,0.9166463017463684,-0.08703359216451645,-0.16156585339922458,-0.48469756019767374,4,3,False,mc_letter_v1,False,False,False,False,mc_letter_mismatch,high,0.0,False,B,C,feel pleasure,B,[],[],[],['feel pleasure'],False,False,mc_letter,False,False,False,False,False,False,False,llm_judge_incorrect,medium,medium,llm_judge_incorrect,True,incorrect,high,"The model answer 'digestion' refers to a process that occurs after eating, but it is not semantically equivalent to 'feel pleasure,' which is the accepted answer. The accepted answer describes a subjective experience, while the model answer describes a physiological process.",False,,True,True,70, ,22,2.3328845555132087,0.7175273709497946,0.49653947353363037,3.6157875061035156,-0.013071195140926932,-0.40255141258239713,0.30838124454021454,12.946690487608642,0.3604107800532471,0.8352272727272727,14,0.8095238095238095,0.3994708994708995,1,102376.95454545454,2.6710384867408057,0.5079949749352017,1.8436758518218994,3.6157875061035156,-0.0038305120034651174,-0.12723898887634244,0.003655721743901552,16.42547556301211,0.270142944698984,0.5397727272727273,7,0.7,0.4408730158730158,138828,150071.81818181818,2.019392728805542,0.8539155769923185,0.49653947353363037,3.290367841720581,0.09457646948950643,-0.40255141258239713,0.30838124454021454,10.384647046690155,0.4352354761213064,1.1015625,6,0.8571428571428571,0.32653061224489793,1,31165.125,2.268186926841736,0.7612087895254577,1.2299587726593018,3.290367841720581,0.029207205772399943,-0.40255141258239713,0.30838124454021454,12.587062396245578,0.40862761437892914,0.9875,4,1.0,0.38392857142857145,1,97.0,2.268186926841736,1.2299587726593018,0.7310841083526611,2.25,3,2.485265016555786,0.40000075101852417,0.9375,1,-1.2553062438964844,True,True,True,True,False,False,False,True,True,True,0.9166463017463684,2.268186926841736,True,True,high_confidence__noisy_workspace
ex_00862_6f48ee564a48293eb501cc0d8197bdd9,6f48ee564a48293eb501cc0d8197bdd9,862,prompt_ex_00862_6f48ee564a48293eb501cc0d8197bdd9,Where would you display a picture on a horizontal surface?,E,['shelf'],"[{'label': 'A', 'text': 'microwave'}, {'label': 'B', 'text': 'desktop'}, {'label': 'C', 'text': 'shelf'}, {'label': 'D', 'text': 'art show'}, {'label': 'E', 'text': 'wall'}]",C,shelf," E

The correct",' E\n\nThe correct','E',"[468, 271, 785, 4396]",468, E,0.9093080759048462,-0.09507132321596146,-0.2516964351137479,-0.7550893053412437,4,3,False,mc_letter_v1,False,False,False,False,mc_letter_mismatch,high,0.0,False,E,C,shelf,E,[],[],[],['shelf'],False,False,mc_letter,False,False,False,False,False,False,False,llm_judge_incorrect,medium,medium,llm_judge_incorrect,True,incorrect,high,The model answer 'E' is not semantically equivalent to the accepted answer 'shelf' and does not represent a valid answer to the question 'Where would you display a picture on a horizontal surface?'. 'E' is not a recognized alias or equivalent term for a shelf in this context.,False,,True,True,68, ,22,1.4245342761278152,0.8154017669259551,0.16776396334171295,2.604660749435425,0.018312687021672318,0.10511052608490025,0.07448547085126239,5.644882498894924,0.6123685565861788,1.6875,9,0.42857142857142855,0.506991685563114,1,116731.18181818182,1.4649067317897624,0.7349975916916118,0.2104363888502121,2.5115597248077393,-0.036618165400895186,-0.6676020398735999,0.30797709027926123,5.510347036834446,0.5983148461038416,1.5397727272727273,4,0.4,0.5845238095238096,143807,149410.54545454544,1.4708946887403727,0.8885231961471282,0.16776396334171295,2.604660749435425,0.31064675837045624,0.10511052608490025,0.07448547085126239,6.262589901133101,0.5745419003069401,1.3046875,4,0.42857142857142855,0.4325396825396825,1,71506.125,1.8944323897361754,0.7643529543634668,0.7960187792778015,2.604660749435425,0.4988635897636413,0.10511052608490025,0.07448547085126239,8.486709867140263,0.4580604672431946,0.7375,3,0.5,0.3611111111111111,1,28885.6,1.8944323897361754,2.604660749435425,0.30107125639915466,0.5,1323,2.5644290447235107,0.2968960404396057,0.1875,1,0.04023170471191406,True,True,True,True,False,False,False,True,True,True,0.9093080759048462,1.8944323897361754,True,True,high_confidence__noisy_workspace
ex_01032_35ad89c198d5d6311a71c993bb7b6cba,35ad89c198d5d6311a71c993bb7b6cba,1032,prompt_ex_01032_35ad89c198d5d6311a71c993bb7b6cba,Spraining an ankle while playing baseball will cause what?,C,['pain'],"[{'label': 'A', 'text': 'strikes'}, {'label': 'B', 'text': 'eating'}, {'label': 'C', 'text': 'injury'}, {'label': 'D', 'text': 'sore muscles'}, {'label': 'E', 'text': 'pain'}]",E,pain," C
Answer:",' C\nAnswer:','C',"[356, 198, 16141, 25]",356, C,0.9071621894836426,-0.09743409603834152,-0.37268576572387246,-1.1180572971716174,4,3,False,mc_letter_v1,False,False,False,False,mc_letter_mismatch,high,0.0,False,C,E,pain,C,[],[],[],['pain'],False,False,mc_letter,False,False,False,False,False,False,False,llm_judge_incorrect,medium,medium,llm_judge_incorrect,True,incorrect,high,The model answer 'C' is not semantically equivalent to the accepted answer 'pain' and does not provide a valid answer to the question about the effect of spraining an ankle while playing baseball.,False,,True,True,68, ,22,2.017687914046374,0.9349270101860696,0.4776114821434021,3.6143484115600586,-0.05414898657381433,-0.8073393404483795,0.19996132453282678,11.203846515325525,0.4614521207457239,1.0653409090909092,11,0.5238095238095238,0.3473167044595616,1,84599.04545454546,2.4795790802348745,0.8720612042084319,0.8374741077423096,3.6143484115600586,-0.07948974262584334,-0.6465107202529906,0.2141521771748861,16.2848458792003,0.34558299387043173,0.8806818181818182,6,0.5,0.36904761904761896,25966,129576.18181818182,1.458794355392456,0.7684260106027125,0.4776114821434021,2.5488712787628174,-0.01558521106129599,-0.8073393404483795,0.19996132453282678,5.699709866168856,0.6095321364700794,1.328125,4,0.42857142857142855,0.34637188208616776,1,4462.0,1.6478752613067627,0.8529861173299801,0.4776114821434021,2.5488712787628174,-0.5519743025302891,-0.8073393404483795,0.19996132453282678,7.029162477000034,0.5815223515033722,1.475,3,0.5,0.44345238095238093,1,8.0,1.6478752613067627,0.7717040181159973,0.7578528523445129,1.375,1,0.4776114821434021,0.8862118721008301,2.375,1,0.2940925359725952,True,True,True,True,False,False,False,True,True,True,0.9071621894836426,1.6478752613067627,True,True,high_confidence__noisy_workspace
ex_00087_0f4159e80f8dbf682819215bbf0f5b5a-1,0f4159e80f8dbf682819215bbf0f5b5a_1,87,prompt_ex_00087_0f4159e80f8dbf682819215bbf0f5b5a-1,"If you're remembering something, it's because of your what of it to begin with?",A,['knowing'],"[{'label': 'A', 'text': 'knowledge'}, {'label': 'B', 'text': 'knowing'}, {'label': 'C', 'text': 'forgetful'}, {'label': 'D', 'text': 'pleasure'}, {'label': 'E', 'text': 'depression'}]",B,knowing," A
The correct",' A\nThe correct','A',"[362, 198, 785, 4396]",362, A,0.9043005108833313,-0.10059355199337006,-0.3766288508971532,-1.1298865526914597,4,3,False,mc_letter_v1,False,False,False,False,mc_letter_mismatch,high,0.0,False,A,B,knowing,A,[],[],[],['knowing'],False,False,mc_letter,False,False,False,False,False,False,False,llm_judge_incorrect,medium,medium,llm_judge_incorrect,True,incorrect,high,The model answer 'A' is not semantically equivalent to the accepted answer 'knowing' and does not provide a meaningful or correct answer to the question.,False,,True,True,75, ,22,1.7933520837263628,0.6803761436897983,0.6118954420089722,3.5299558639526367,0.0216554203388854,0.22728383541107208,0.12037214636802673,7.874482709462131,0.5137839642438021,1.0880681818181819,9,0.5238095238095238,0.43159486016628873,1,97263.0,2.1093857938593086,0.7233638222031591,0.8876605033874512,3.5299558639526367,0.08989285447380767,0.362979590892792,0.11352894703547162,10.866800250814446,0.48836672576990997,1.2954545454545454,4,0.4,0.4087301587301587,138941,146859.27272727274,1.6641182154417038,0.34972231277267396,1.2876195907592773,2.5040841102600098,0.06376596149944129,0.22728383541107208,0.12037214636802673,5.677421146037041,0.4852253310382366,0.7890625,4,0.7142857142857143,0.4914965986394558,1,52747.125,1.7128486633300781,0.4240406161892401,1.2876195907592773,2.5040841102600098,0.15240761041641232,0.22728383541107208,0.12037214636802673,6.139348377912363,0.4577197790145874,0.6625,3,0.75,0.5238095238095238,1,3662.2,1.7128486633300781,2.5040841102600098,0.3024422228336334,0.25,34,1.742187261581421,0.56109219789505,1.1875,1,0.7618968486785889,True,True,True,True,False,False,False,True,True,True,0.9043005108833313,1.7128486633300781,True,True,high_confidence__noisy_workspace
ex_00800_cc8324b73ed9625e723ef041dfc77a37,cc8324b73ed9625e723ef041dfc77a37,800,prompt_ex_00800_cc8324b73ed9625e723ef041dfc77a37,What might happen if someone is not losing weight?,A,['death'],"[{'label': 'A', 'text': 'loose skin'}, {'label': 'B', 'text': 'beauty'}, {'label': 'C', 'text': 'miss universe'}, {'label': 'D', 'text': 'death'}, {'label': 'E', 'text': 'healthier'}]",D,death," A

The question",' A\n\nThe question','A',"[362, 271, 785, 3405]",362, A,0.9032039642333984,-0.1018068715929985,-0.32716338088115055,-0.9814901426434517,4,3,False,mc_letter_v1,False,False,False,False,mc_letter_mismatch,high,0.0,False,A,D,death,A,[],[],[],['death'],False,False,mc_letter,False,False,False,False,False,False,False,llm_judge_incorrect,low,low,llm_judge_incorrect,True,incorrect,low,"{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer 'A' is not semantically equivalent to the accepted answer 'death' and does not provide a meaningful or related response to the question.'}",False,,True,False,68, ,22,1.8465351123701443,1.023219944573974,0.4498504102230072,3.3298399448394775,0.032437897633860055,0.2767524719238283,0.05117891232172647,10.105867278096527,0.48111177947033534,1.15625,8,0.42857142857142855,0.3994708994708995,1,111572.09090909091,1.8580080731348558,1.0896359479169924,0.4498504102230072,3.3298399448394775,0.30236645828593856,-0.23993349075317352,0.0878307893872261,10.685749747811206,0.4767275202003392,1.0909090909090908,5,0.5,0.33531746031746035,143616,148283.81818181818,1.693217046558857,0.9465125902695662,0.5250931978225708,3.1403112411499023,0.4027104129393894,0.2767524719238283,0.05117891232172647,8.354893711937585,0.4809827581048012,1.0234375,4,0.5714285714285714,0.5510204081632653,1,56493.75,2.280828261375427,0.7005384170380844,1.1907284259796143,3.1403112411499023,0.4826828837394715,0.2767524719238283,0.05117891232172647,12.119510079697394,0.3065471529960632,0.4375,4,1.0,0.44047619047619047,1,10547.8,2.280828261375427,2.706979274749756,0.2017279416322708,0.3125,185,3.1403112411499023,0.1576225608587265,0.125,1,-0.4333319664001465,True,True,True,True,False,False,False,True,False,True,0.9032039642333984,2.280828261375427,True,True,high_confidence__noisy_workspace
ex_00312_793672da43fbc609e8c5760630c7e239,793672da43fbc609e8c5760630c7e239,312,prompt_ex_00312_793672da43fbc609e8c5760630c7e239,What is the habitat of the fox?,B,['mountains'],"[{'label': 'A', 'text': 'hen house'}, {'label': 'B', 'text': 'burrow'}, {'label': 'C', 'text': 'california'}, {'label': 'D', 'text': 'england'}, {'label': 'E', 'text': 'mountains'}]",E,mountains," B

The correct",' B\n\nThe correct','B',"[425, 271, 785, 4396]",425, B,0.9019970297813416,-0.10314410924911499,-0.288696492711703,-0.866089478135109,4,3,False,mc_letter_v1,False,False,False,False,mc_letter_mismatch,high,0.0,False,B,E,mountains,B,[],[],[],['mountains'],False,False,mc_letter,False,False,False,False,False,False,False,llm_judge_incorrect,medium,medium,llm_judge_incorrect,True,incorrect,high,The model answer 'B' is not semantically equivalent to the accepted answer 'mountains' and does not provide any meaningful information about the habitat of the fox.,False,,True,True,67, ,22,1.9834516116163947,0.8168509056957796,0.28604158759117126,3.1230576038360596,-0.04046291043905131,-0.24765092134475683,0.22198912501335144,9.605750681692093,0.4540966762737794,1.1704545454545454,13,0.6190476190476191,0.37282690854119427,1,76195.45454545454,2.408455965193835,0.7290193240312961,0.28604158759117126,3.1230576038360596,-0.11444898627021095,-0.10873377323150622,0.35532721877098083,13.182542067120282,0.3498596874150363,1.0681818181818181,8,0.8,0.3055555555555555,11029,117896.81818181818,1.5338117703795433,0.6247864305232759,0.6544381380081177,2.7403206825256348,0.04237837947550285,-0.24765092134475683,0.22198912501335144,5.697146937637439,0.5929940491914749,1.53125,4,0.42857142857142855,0.4880952380952381,1,3047.0,1.725459384918213,0.6799400548779011,0.6544381380081177,2.7403206825256348,-0.2836321473121644,-0.24765092134475683,0.22198912501335144,6.989823539221132,0.575908613204956,1.825,3,0.5,0.35416666666666663,1,20.2,1.725459384918213,0.6544381380081177,0.8757760524749756,3.25,1,1.4540055990219116,0.7147114276885986,2.625,1,-0.799567461013794,True,True,True,True,False,False,False,True,True,True,0.9019970297813416,1.725459384918213,True,True,high_confidence__noisy_workspace
