example_id,question,prediction,aliases,verdict,confidence,reason,raw_judge_output,clean_judge_output,temporal_unstable,fuzzy_suggested
ex_01824_dpql-1773,Who were the backing group of Junior Walker?,1960s Motown group The Miracles. The Miracles were,"['The Allstars', 'AllSTARS* (band)', 'The Allstars', 'AllSTARS', 'Allstars (band)', 'AllSTARS*', 'allstars band', 'allstars', '', '']",incorrect,high,"The model answer refers to The Miracles, which is a different group from The Allstars, the accepted answer. The Miracles were a Motown group active in the 1960s, while The Allstars were the backing group of Junior Walker.","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer refers to The Miracles, which is a different group from The Allstars, the accepted answer. The Miracles were a Motown group active in the 1960s, while The Allstars were the backing group of Junior Walker.""}","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer refers to The Miracles, which is a different group from The Allstars, the accepted answer. The Miracles were a Motown group active in the 1960s, while The Allstars were the backing group of Junior Walker.""}",False,False
ex_04506_qw-14240,"""Which author famously upset her publisher by beginning a book with """"I am quite tired of making goody goody books about nice people""""?""",1930s. The answer is: Roald Dahl. Wait,"['Beatrix Potter', 'Beatrix Potter bibliography', 'Beatrix Potter Society', 'Beatrix pottrer', 'Helen Beatrix Potter', 'Beatrix Potter', 'Mrs william heelis', 'Beatix potter', 'beatix potter', 'mrs william heelis', 'beatrix potter society', 'beatrix pottrer', 'helen beatrix potter', 'beatrix potter', 'beatrix potter bibliography', '', '']",incorrect,high,"The model answer incorrectly identifies the author as Roald Dahl, who is not the author of the quoted statement. The correct author is Beatrix Potter, who is listed in the accepted answers/aliases.","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer incorrectly identifies the author as Roald Dahl, who is not the author of the quoted statement. The correct author is Beatrix Potter, who is listed in the accepted answers/aliases.""}","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer incorrectly identifies the author as Roald Dahl, who is not the author of the quoted statement. The correct author is Beatrix Potter, who is listed in the accepted answers/aliases.""}",False,False
ex_03657_qw-2135,"On British television, John Steed and Emma Peel were known collectively as what?",007,"['The Avengers', 'Avengers (cartoon)', 'The Avengers', 'The Avengers (film)', 'The Avengers Movie', 'Avengers, The', 'The Avengerse', 'Avengers', 'The Avengers (disambiguation)', 'Avengers (film)', 'avengers disambiguation', 'avengers', 'avengerse', 'avengers movie', 'avengers film', 'avengers cartoon', '', '']",incorrect,high,"The model answer '007' refers to James Bond, a different character from John Steed and Emma Peel, who were known as 'The Avengers' on British television.","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer '007' refers to James Bond, a different character from John Steed and Emma Peel, who were known as 'The Avengers' on British television.""}","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer '007' refers to James Bond, a different character from John Steed and Emma Peel, who were known as 'The Avengers' on British television.""}",False,False
ex_09674_qg-1460,How many herbs and spices make up the secret blend used on Colonel Harland Sanders' most famous creation: his Original Recipe Kentucky Fried Chicken?,11. The original recipe for Colonel Sanders' Kentucky Fried Chicken included 1,"['11', '11', 'eleven', 'eleven', '11', '', '']",correct,high,The model answer correctly states '11' which is semantically equivalent to the accepted answers. The additional text 'The original recipe for Colonel Sanders' Kentucky Fried Chicken included 1' is likely a truncation or incomplete sentence but does not contradict the correct number of 11 herbs and spices.,"{""verdict"":""correct"",""confidence"":""high"",""reason"":""The model answer correctly states '11' which is semantically equivalent to the accepted answers. The additional text 'The original recipe for Colonel Sanders' Kentucky Fried Chicken included 1' is likely a truncation or incomplete sentence but does not contradict the correct number of 11 herbs and spices.""}","{""verdict"":""correct"",""confidence"":""high"",""reason"":""The model answer correctly states '11' which is semantically equivalent to the accepted answers. The additional text 'The original recipe for Colonel Sanders' Kentucky Fried Chicken included 1' is likely a truncation or incomplete sentence but does not contradict the correct number of 11 herbs and spices.""}",False,False
ex_03582_qw-1158,Which film starring Steve McQueen featured a car chase through the streets of San Francisco?,"1971's ""The Great Escape"" (1963","['Bullitt', 'Bullitt', 'Lieutenant Frank Bullitt', 'lieutenant frank bullitt', 'bullitt', '', '']",incorrect,high,"The model answer refers to 'The Great Escape' (1963), which is a different film from 'Bullitt' (1968), the film starring Steve McQueen with a car chase through San Francisco.","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer refers to 'The Great Escape' (1963), which is a different film from 'Bullitt' (1968), the film starring Steve McQueen with a car chase through San Francisco.""}","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer refers to 'The Great Escape' (1963), which is a different film from 'Bullitt' (1968), the film starring Steve McQueen with a car chase through San Francisco.""}",False,False
ex_03811_qw-4232,Who played Inspector Clouseau in the films made from 1963 to 1978?,007,"['Peter Sellers', 'FIlmography of Peter Sellers', 'Monty casino', 'Peter Sellers', 'Filmography of Peter Sellers', 'Richard Henry Sellers', 'List of Peter Sellers films', 'Monty Casino', 'monty casino', 'richard henry sellers', 'filmography of peter sellers', 'peter sellers', 'list of peter sellers films', '', '']",incorrect,high,"The model answer '007' refers to Sean Connery, who played James Bond in the 007 film series, not Inspector Clouseau. Inspector Clouseau was played by Peter Sellers, which is explicitly listed in the accepted answers.","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer '007' refers to Sean Connery, who played James Bond in the 007 film series, not Inspector Clouseau. Inspector Clouseau was played by Peter Sellers, which is explicitly listed in the accepted answers.""}","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer '007' refers to Sean Connery, who played James Bond in the 007 film series, not Inspector Clouseau. Inspector Clouseau was played by Peter Sellers, which is explicitly listed in the accepted answers.""}",False,False
ex_00434_qz-2537,How many runs did Donald Bradman score in his last ever test match innings?,103. The answer is 103,"['None', 'None', 'None (disambiguation)', 'none', 'none disambiguation', '', '']",incorrect,high,"The accepted answers indicate 'None' or 'None (disambiguation)', which suggests the answer is not 103. Donald Bradman's last Test innings was 103 runs, but the accepted answers do not include this value, indicating a possible discrepancy or error in the accepted answers.","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The accepted answers indicate 'None' or 'None (disambiguation)', which suggests the answer is not 103. Donald Bradman's last Test innings was 103 runs, but the accepted answers do not include this value, indicating a possible discrepancy or error in the accepted answers.""}","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The accepted answers indicate 'None' or 'None (disambiguation)', which suggests the answer is not 103. Donald Bradman's last Test innings was 103 runs, but the accepted answers do not include this value, indicating a possible discrepancy or error in the accepted answers.""}",False,False
ex_03257_bb-6847,Tala is the basic monetary unit of which country?,1. Tala is the basic monetary unit of which country? 2,"['Samoa', 'IS Samoa', 'Independent State of Samoa', 'Samoa', ""Malo Sa'oloto Tuto'atasi o Sāmoa"", 'Malo Saʻoloto Tutoʻatasi o Sāmoa', 'Independent state of samoa', 'Independent State of Western Samoa', 'Malosi', 'The Independent State of Samoa', 'West Samoa', 'Western Samoa', 'ISO 3166-1:WS', 'Sāmoa', 'Languages of Samoa', 'samoa', 'west samoa', 'western samoa', 'independent state of western samoa', 'independent state of samoa', 'malo saʻoloto tutoʻatasi o sāmoa', 'malosi', 'malo sa oloto tuto atasi o sāmoa', 'sāmoa', 'iso 3166 1 ws', 'is samoa', 'languages of samoa', '', '']",incorrect,high,"The model answer is incomplete and does not provide the correct country. The question asks for the country whose basic monetary unit is the tala, and the accepted answers include 'Samoa', 'Independent State of Samoa', and others. The model answer '2' is unclear and does not address the question properly.","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer is incomplete and does not provide the correct country. The question asks for the country whose basic monetary unit is the tala, and the accepted answers include 'Samoa', 'Independent State of Samoa', and others. The model answer '2' is unclear and does not address the question properly.""}","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer is incomplete and does not provide the correct country. The question asks for the country whose basic monetary unit is the tala, and the accepted answers include 'Samoa', 'Independent State of Samoa', and others. The model answer '2' is unclear and does not address the question properly.""}",False,False
ex_03611_qw-1527,"In a film script, what do the letters ECU mean?",1.5.1.1.1.1.1.1,"['Extreme Close Up', 'Extreme Close Up', 'extreme close up', '', '']",incorrect,high,The model answer '1.5.1.1.1.1.1.1' is not semantically equivalent to the accepted answers 'Extreme Close Up' or 'extreme close up'. It does not represent a meaningful answer to the question about the meaning of ECU in a film script.,"{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer '1.5.1.1.1.1.1.1' is not semantically equivalent to the accepted answers 'Extreme Close Up' or 'extreme close up'. It does not represent a meaningful answer to the question about the meaning of ECU in a film script.""}","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer '1.5.1.1.1.1.1.1' is not semantically equivalent to the accepted answers 'Extreme Close Up' or 'extreme close up'. It does not represent a meaningful answer to the question about the meaning of ECU in a film script.""}",False,False
ex_05574_sfq-5321,Which Olympic games saw the introduction of the Fosbury Flop?,1956 Summer Olympics. The Fosbury Flop was introduced at,"['MEXICO 1968', 'MEXICO 1968', 'mexico 1968', '', '']",incorrect,high,"The model answer incorrectly states that the Fosbury Flop was introduced at the 1956 Summer Olympics, whereas the accepted answer indicates it was introduced at the 1968 Mexico Olympics.","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer incorrectly states that the Fosbury Flop was introduced at the 1956 Summer Olympics, whereas the accepted answer indicates it was introduced at the 1968 Mexico Olympics.""}","{""verdict"":""incorrect"",""confidence"":""high"",""reason"":""The model answer incorrectly states that the Fosbury Flop was introduced at the 1956 Summer Olympics, whereas the accepted answer indicates it was introduced at the 1968 Mexico Olympics.""}",False,False
